City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,otjiwarongo,-20.4637,16.6477,65.8,28,2,7.67,,1683663514
160,bethel,41.3712,-73.414,69.64,31,0,6.91,US,1683663514
161,lutjenburg,54.2919,10.5895,60.62,56,100,7.0,DE,1683663515
162,kiunga,-6.1219,141.2906,74.53,100,97,0.6,PG,1683663515
163,yanji,42.9075,129.5078,43.11,63,14,3.22,CN,1683663515
164,isafjordur,66.0755,-23.124,39.33,95,100,5.17,IS,1683663515
165,gamba,-2.65,10.0,78.8,91,73,4.29,GA,1683663516
166,bacoli,40.7995,14.0783,65.21,82,82,4.81,IT,1683663516
167,zahedan,29.4963,60.8629,67.91,15,0,9.22,IR,1683663516
168,la rinconada,37.4873,-5.9826,85.05,33,99,1.01,ES,1683663517
169,greenland,43.0362,-70.8328,66.09,45,20,13.8,US,1683663517
170,magadan,59.5667,150.8,35.1,88,98,1.83,RU,1683663488
171,usogorsk,63.4106,48.6872,40.3,97,100,3.98,RU,1683663518
172,kaa-khem,51.6833,94.7333,48.79,85,87,2.75,RU,1683663519
173,tazacorte,28.629,-17.9293,70.77,78,20,18.41,ES,1683663519
174,harper,4.375,-7.7169,81.68,82,72,8.16,LR,1683663519
175,broken hill,-31.95,141.4333,45.77,82,0,8.75,AU,1683663520
176,verkhniy baskunchak,48.2256,46.7217,45.37,70,100,8.03,RU,1683663520
177,benjamin aceval,-24.9667,-57.5667,77.59,58,59,3.58,PY,1683663521
178,san angelo,31.4638,-100.437,89.94,31,0,10.36,US,1683663330
179,touros,-5.1989,-35.4608,80.96,77,23,13.62,BR,1683663521
180,berdigestyakh,62.0989,126.6992,30.27,87,100,11.83,RU,1683663521
181,luwuk,-0.9516,122.7875,78.91,86,100,1.7,ID,1683663521
182,muravlenko,63.7898,74.523,33.17,98,100,17.67,RU,1683663522
183,miyazu,35.5333,135.1833,47.59,63,0,4.05,JP,1683663522
184,praia da vitoria,38.7333,-27.0667,66.45,88,40,9.51,PT,1683663522
185,ridder,50.355,83.5133,54.28,56,98,5.06,KZ,1683663522
186,nadym,65.5333,72.5167,31.14,98,100,11.54,RU,1683663523
187,las cruces,32.3123,-106.7783,93.06,7,0,12.66,US,1683663523
188,dudinka,69.4058,86.1778,-15.59,100,67,1.68,RU,1683663523
189,alpine,32.835,-116.7664,70.66,53,20,7.0,US,1683663524
190,tura,25.5198,90.2201,76.08,37,0,6.13,IN,1683663524
191,akjoujt,19.6969,-14.4164,96.39,9,7,10.92,MR,1683663524
192,severo-yeniseyskiy,60.3725,93.0408,23.99,90,45,6.82,RU,1683663524
193,ilulissat,69.2167,-51.1,30.22,80,75,8.05,GL,1683663524
194,port hedland,-20.3167,118.5667,68.05,24,73,12.66,AU,1683663524
195,nagqu,31.5,92.0,31.21,66,100,5.66,CN,1683663525
196,taytay,14.5678,121.1394,82.33,84,75,0.0,PH,1683663525
197,lorengau,-2.0226,147.2712,80.98,80,39,2.28,PG,1683663525
198,vernon,50.2581,-119.2691,69.3,46,91,2.3,CA,1683663414
199,yankton,42.8711,-97.3973,80.11,53,20,14.97,US,1683663525
200,georgetown,5.4112,100.3354,84.13,84,20,0.0,MY,1683663525
201,san fernando,15.0286,120.6898,80.33,85,86,2.84,PH,1683663526
202,fuxin,42.0156,121.6589,58.15,25,88,2.91,CN,1683663526
203,piacabucu,-10.4056,-36.4344,79.34,76,1,7.43,BR,1683663526
204,cody,44.5263,-109.0565,68.2,26,100,13.8,US,1683663526
205,tamanrasset,22.785,5.5228,78.71,8,0,6.91,DZ,1683663526
206,pinkafeld,47.3667,16.1167,55.76,58,100,3.56,AT,1683663527
207,agbor,6.2518,6.1934,78.71,87,89,5.57,NG,1683663527
208,binjai,3.6001,98.4854,78.75,84,99,2.91,ID,1683663527
209,inarajan village,13.2736,144.7484,80.74,95,7,9.82,GU,1683663527
210,abingdon,51.6711,-1.2828,54.91,94,75,6.91,GB,1683663527
211,port lincoln,-34.7333,135.8667,58.24,74,74,8.28,AU,1683663528
212,barranca,-10.75,-77.7667,74.66,74,65,10.51,PE,1683663528
213,sangin,32.0728,64.8359,77.86,9,9,2.8,AF,1683663528
214,arraial do cabo,-22.9661,-42.0278,76.96,83,40,8.05,BR,1683663528
215,saynshand,44.8824,110.1163,57.27,61,100,6.49,MN,1683663528
216,ylitornio,66.3089,23.6773,35.73,99,100,0.56,FI,1683663529
217,fort bragg,35.139,-79.006,89.44,36,0,10.36,US,1683663529
218,susuman,62.7833,148.1667,32.04,85,99,2.98,RU,1683663529
219,ciudad insurgentes,25.2625,-111.7753,81.66,25,80,17.16,MX,1683663529
220,livingston,55.9029,-3.5226,55.27,69,0,5.75,GB,1683663529
221,callaway,30.153,-85.5699,84.25,68,40,11.5,US,1683663529
222,kodinsk,58.6881,99.1844,40.95,75,100,7.94,RU,1683663530
223,yelizovo,53.1873,158.3805,35.74,86,0,4.47,RU,1683663530
